NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
"HUNTSVILLE INTNL AIRPORT, AL US",9/1/1958,0,0,0,,93,67
"HUNTSVILLE INTNL AIRPORT, AL US",9/2/1958,0,0,0,,91,64
"HUNTSVILLE INTNL AIRPORT, AL US",9/3/1958,0,0,0,,88,71
"HUNTSVILLE INTNL AIRPORT, AL US",9/4/1958,0,0,0,,87,70
"HUNTSVILLE INTNL AIRPORT, AL US",9/5/1958,0,0,0,,89,72
"HUNTSVILLE INTNL AIRPORT, AL US",9/6/1958,0,0,0,,91,69
"HUNTSVILLE INTNL AIRPORT, AL US",9/7/1958,0,0,0,,96,68
"HUNTSVILLE INTNL AIRPORT, AL US",9/8/1958,0,0,0,,91,61
"HUNTSVILLE INTNL AIRPORT, AL US",9/9/1958,0,0,0,,90,55
"HUNTSVILLE INTNL AIRPORT, AL US",9/10/1958,0,0,0,,93,54
"HUNTSVILLE INTNL AIRPORT, AL US",9/11/1958,0.15,0,0,,77,66
"HUNTSVILLE INTNL AIRPORT, AL US",9/12/1958,0,0,0,,70,64
"HUNTSVILLE INTNL AIRPORT, AL US",9/13/1958,0,0,0,,81,62
"HUNTSVILLE INTNL AIRPORT, AL US",9/14/1958,0,0,0,,86,65
"HUNTSVILLE INTNL AIRPORT, AL US",9/15/1958,0.28,0,0,,85,73
"HUNTSVILLE INTNL AIRPORT, AL US",9/16/1958,0,0,0,,90,73
"HUNTSVILLE INTNL AIRPORT, AL US",9/17/1958,0.4,0,0,,85,67
"HUNTSVILLE INTNL AIRPORT, AL US",9/18/1958,0.57,0,0,,82,60
"HUNTSVILLE INTNL AIRPORT, AL US",9/19/1958,0.14,0,0,,80,57
"HUNTSVILLE INTNL AIRPORT, AL US",9/20/1958,1.11,0,0,,77,70
"HUNTSVILLE INTNL AIRPORT, AL US",9/21/1958,0.86,0,0,,75,72
"HUNTSVILLE INTNL AIRPORT, AL US",9/22/1958,0,0,0,,86,67
"HUNTSVILLE INTNL AIRPORT, AL US",9/23/1958,0,0,0,,87,66
"HUNTSVILLE INTNL AIRPORT, AL US",9/24/1958,0,0,0,,84,74
"HUNTSVILLE INTNL AIRPORT, AL US",9/25/1958,0,0,0,,89,70
"HUNTSVILLE INTNL AIRPORT, AL US",9/26/1958,0,0,0,,92,69
"HUNTSVILLE INTNL AIRPORT, AL US",9/27/1958,0.08,0,0,,79,61
"HUNTSVILLE INTNL AIRPORT, AL US",9/28/1958,0,0,0,,78,52
"HUNTSVILLE INTNL AIRPORT, AL US",9/29/1958,0,0,0,,77,50
"HUNTSVILLE INTNL AIRPORT, AL US",9/30/1958,0.38,0,0,,71,66
"HUNTSVILLE INTNL AIRPORT, AL US",10/1/1958,0.07,0,0,,66,50
"HUNTSVILLE INTNL AIRPORT, AL US",10/2/1958,0,0,0,,57,50
"HUNTSVILLE INTNL AIRPORT, AL US",10/3/1958,0.1,0,0,,61,54
"HUNTSVILLE INTNL AIRPORT, AL US",10/4/1958,0,0,0,,74,53
"HUNTSVILLE INTNL AIRPORT, AL US",10/5/1958,0,0,0,,83,48
"HUNTSVILLE INTNL AIRPORT, AL US",10/6/1958,0,0,0,,82,51
"HUNTSVILLE INTNL AIRPORT, AL US",10/7/1958,0,0,0,,75,55
"HUNTSVILLE INTNL AIRPORT, AL US",10/8/1958,0,0,0,,78,53
"HUNTSVILLE INTNL AIRPORT, AL US",10/9/1958,0,0,0,,83,64
"HUNTSVILLE INTNL AIRPORT, AL US",10/10/1958,0,0,0,,78,52
"HUNTSVILLE INTNL AIRPORT, AL US",10/11/1958,0,0,0,,73,50
"HUNTSVILLE INTNL AIRPORT, AL US",10/12/1958,0,0,0,,78,49
"HUNTSVILLE INTNL AIRPORT, AL US",10/13/1958,0,0,0,,81,47
"HUNTSVILLE INTNL AIRPORT, AL US",10/14/1958,0,0,0,,86,50
"HUNTSVILLE INTNL AIRPORT, AL US",10/15/1958,0,0,0,,78,54
"HUNTSVILLE INTNL AIRPORT, AL US",10/16/1958,0,0,0,,81,58
"HUNTSVILLE INTNL AIRPORT, AL US",10/17/1958,0,0,0,,84,56
"HUNTSVILLE INTNL AIRPORT, AL US",10/18/1958,0.07,0,0,,83,57
"HUNTSVILLE INTNL AIRPORT, AL US",10/19/1958,0,0,0,,77,56
"HUNTSVILLE INTNL AIRPORT, AL US",10/20/1958,0,0,0,,82,51
"HUNTSVILLE INTNL AIRPORT, AL US",10/21/1958,0,0,0,,82,51
"HUNTSVILLE INTNL AIRPORT, AL US",10/22/1958,0,0,0,,80,55
"HUNTSVILLE INTNL AIRPORT, AL US",10/23/1958,0,0,0,,74,47
"HUNTSVILLE INTNL AIRPORT, AL US",10/24/1958,0,0,0,,81,41
"HUNTSVILLE INTNL AIRPORT, AL US",10/25/1958,0,0,0,,68,40
"HUNTSVILLE INTNL AIRPORT, AL US",10/26/1958,0,0,0,,59,45
"HUNTSVILLE INTNL AIRPORT, AL US",10/27/1958,0,0,0,,60,35
"HUNTSVILLE INTNL AIRPORT, AL US",10/28/1958,0,0,0,,63,33
"HUNTSVILLE INTNL AIRPORT, AL US",10/29/1958,0,0,0,,68,35
"HUNTSVILLE INTNL AIRPORT, AL US",10/30/1958,0,0,0,,73,44
"HUNTSVILLE INTNL AIRPORT, AL US",10/31/1958,0.75,0,0,,71,46
"HUNTSVILLE INTNL AIRPORT, AL US",11/1/1958,0.04,0,0,,54,50
"HUNTSVILLE INTNL AIRPORT, AL US",11/2/1958,0,0,0,,57,44
"HUNTSVILLE INTNL AIRPORT, AL US",11/3/1958,0,0,0,,64,38
